[2019-07-26 09:37:03.363] [DEBUG] [mProtocol_OnEventReceived] [SQLiteHelper][OpenConnection] -DB connection Open.
[2019-07-26 09:37:03.503] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:37:03.535] [DEBUG] [mProtocol_OnEventReceived] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Offline' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 09:38:47.210] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:41:37.338] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:42:54.422] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:42:55.426] [DEBUG] [CallBackActor] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:42:55.429] [DEBUG] [CallBackActor] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Local' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'True'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
[2019-07-26 09:43:50.944] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:44:01.194] [DEBUG] [mProtocol_OnEventReceived] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:44:40.679] [DEBUG] [10] [AbsService][FindbyKeyRtnDt] -pre excute sql:SELECT  EQUIPMENTNAME , RMSUSEFLAG , CURRENTSTATUSTIME , EQUIPMENTSTATUS , EQUIPMENTTYPE , OLDEQUIPMENTSTATUS , ONLINECONTROLSTATUS , SHOP , PROJECTTYPE , STATUSCODE , DESCRIPTION , ISCONNECTED FROM EQUIPMENT
[2019-07-26 09:44:40.684] [DEBUG] [10] [SQLiteHelper][ExecuteNonQuery] -Pre Excute sql [UPDATE  EQUIPMENT   SET  EQUIPMENTNAME = 'ASSY01' ,  RMSUSEFLAG = 'N' ,  CURRENTSTATUSTIME = '2019-04-24 16:02:47.924' ,  EQUIPMENTSTATUS = 'Run' ,  EQUIPMENTTYPE = 'Assembly' ,  OLDEQUIPMENTSTATUS = 'Run' ,  ONLINECONTROLSTATUS = 'Offline' ,  SHOP = 'Modul' ,  PROJECTTYPE = 'New' ,  STATUSCODE = '' ,  DESCRIPTION = 'BMDT Assembly Line' ,  ISCONNECTED = 'False'   WHERE  EQUIPMENTNAME = 'ASSY01' ]
